"office_name", "state_name", "county_name", "notes"
"Buffalo", "New York", "Orleans", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Oswego", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Otsego", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Rensselaer", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Saratoga", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Schenectady", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Schoharie", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Schuyler", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Seneca", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "St. Lawrence", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Steuben", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Tioga", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Tompkins", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Warren", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Washington", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Wayne", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Wyoming", "Counties in Upstate New York not in the NYC AOR"
"Buffalo", "New York", "Yates", "Counties in Upstate New York not in the NYC AOR"
"Boston", "Connecticut", "", ""
"Boston", "Maine", "", ""
"Boston", "Massachusetts", "", ""
"Boston", "New Hampshire", "", ""
"Boston", "Rhode Island", "", ""
"Boston", "Vermont", "", ""
"Denver", "Colorado", "", ""
"Denver", "Wyoming", "", ""
"Washington", "District of Columbia", "", ""
"Washington", "Virginia", "", ""
"Chicago", "Illinois", "", ""
"Chicago", "Indiana", "", ""
"Chicago", "Wisconsin", "", ""
"Chicago", "Missouri", "", ""
"Chicago", "Kentucky", "", ""
"Chicago", "Kansas", "", ""
"Dallas", "Oklahoma", "", ""
"Detroit", "Michigan", "", ""
"Detroit", "Ohio", "", ""
"El Paso", "New Mexico", "", ""
"St Paul", "Iowa", "", ""
"St Paul", "Minnesota", "", ""
"St Paul", "Nebraska", "", ""
"St Paul", "North Dakota", "", ""
"St Paul", "South Dakota", "", ""
"Los Angeles", "California", "Los Angeles", ""
"Los Angeles", "California", "Orange", ""
"Los Angeles", "California", "Riverside", ""
"Los Angeles", "California", "San Bernardino", ""
"Los Angeles", "California", "Ventura", ""
"Los Angeles", "California", "Santa Barbara", ""
"Los Angeles", "California", "San Luis Obispo", ""
"New Orleans", "Alabama", "", ""
"New Orleans", "Arkansas", "", ""
"New Orleans", "Louisiana", "", ""
"New Orleans", "Mississippi", "", ""
"New Orleans", "Tennessee", "", ""
"New York City", "New York", "New York", ""
"New York City", "New York", "Kings", ""
"New York City", "New York", "Queens", ""
"New York City", "New York", "Bronx", ""
"New York City", "New York", "Richmond", ""
"New York City", "New York", "Dutchess", ""
"New York City", "New York", "Nassau", ""
"New York City", "New York", "Putnam", ""
"New York City", "New York", "Suffolk", ""
"New York City", "New York", "Sullivan", ""
"New York City", "New York", "Orange", ""
"New York City", "New York", "Rockland", ""
"New York City", "New York", "Ulster", ""
"New York City", "New York", "Westchester", ""
"Newark", "New Jersey", "", ""
"Philadelphia", "Delaware", "", ""
"Philadelphia", "Pennsylvania", "", ""
"Philadelphia", "West Virginia", "", ""
"Phoenix", "Arizona", "", ""
"Miami", "Florida", "", ""
"Miami", "Puerto Rico", "", ""
"Miami", "United States Virgin Islands", "", ""
"San Diego", "California", "San Diego", ""
"San Diego", "California", "Imperial", ""
"San Francisco", "California", "Alameda", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Alpine", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Amador", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Butte", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Calaveras", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Colusa", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Contra Costa", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Del Norte", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "El Dorado", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Fresno", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Glenn", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Humboldt", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Inyo", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Kern", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Kings", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Lake", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Lassen", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Madera", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Marin", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Mariposa", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Mendocino", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Merced", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Modoc", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Mono", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Monterey", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Napa", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Nevada", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Placer", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Plumas", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Sacramento", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "San Benito", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "San Francisco", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "San Joaquin", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "San Mateo", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Santa Clara", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Santa Cruz", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Shasta", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Sierra", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Siskiyou", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Solano", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Sonoma", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Stanislaus", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Sutter", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Tehama", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Trinity", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Tulare", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Tuolumne", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Yolo", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "California", "Yuba", "Counties in Northern California not in the LA or SD AORs"
"San Francisco", "Hawaii", "", ""
"San Francisco", "Guam", "", ""
"San Francisco", "Commonwealth of the Northern Mariana Islands", "", ""
"Seattle", "Alaska", "", ""
"Seattle", "Oregon", "", ""
"Seattle", "Washington", "", ""
"Salt Lake City", "Utah", "", ""
"Salt Lake City", "Idaho", "", ""
"Salt Lake City", "Montana", "", ""
"Salt Lake City", "Nevada", "", ""
"Houston", "Texas", "Angelina", ""
"Houston", "Texas", "Austin", ""
"Houston", "Texas", "Bee", ""
"Houston", "Texas", "Bell", ""
"Houston", "Texas", "Bosque", ""
"Houston", "Texas", "Brazoria", ""
"Houston", "Texas", "Brazos", ""
"Houston", "Texas", "Burleson", ""
"Houston", "Texas", "Calhoun", ""
"Houston", "Texas", "Chambers", ""
"Houston", "Texas", "Colorado", ""
"Houston", "Texas", "Coryell", ""
"Houston", "Texas", "DeWitt", ""
"Houston", "Texas", "Falls", ""
"Houston", "Texas", "Fayette", ""
"Houston", "Texas", "Fort Bend", ""
"Houston", "Texas", "Freestone", ""
"Houston", "Texas", "Galveston", ""
"Houston", "Texas", "Goliad", ""
"Houston", "Texas", "Grimes", ""
"Houston", "Texas", "Hardin", ""
"Houston", "Texas", "Hamilton", ""
"Houston", "Texas", "Harris", ""
"Houston", "Texas", "Hill", ""
"Houston", "Texas", "Houston", ""
"Houston", "Texas", "Jackson", ""
"Houston", "Texas", "Jasper", ""
"Houston", "Texas", "Jefferson", ""
"Houston", "Texas", "Lavaca", ""
"Houston", "Texas", "Lee", ""
"Houston", "Texas", "Leon", ""
"Houston", "Texas", "Liberty", ""
"Houston", "Texas", "Limestone", ""
"Houston", "Texas", "Live Oak", ""
"Houston", "Texas", "Madison", ""
"Houston", "Texas", "Matagorda", ""
"Houston", "Texas", "McLennan", ""
"Houston", "Texas", "Milam", ""
"Houston", "Texas", "Montgomery", ""
"Houston", "Texas", "Nacogdoches", ""
"Houston", "Texas", "Newton", ""
"Houston", "Texas", "Orange", ""
"Houston", "Texas", "Polk", ""
"Houston", "Texas", "Refugio", ""
"Houston", "Texas", "Robertson", ""
"Houston", "Texas", "Sabine", ""
"Houston", "Texas", "San Augustine", ""
"Houston", "Texas", "San Jacinto", ""
"Houston", "Texas", "Shelby", ""
"Houston", "Texas", "Somervell", ""
"Houston", "Texas", "Trinity", ""
"Houston", "Texas", "Tyler", ""
"Houston", "Texas", "Victoria", ""
"Houston", "Texas", "Walker", ""
"Houston", "Texas", "Waller", ""
"Houston", "Texas", "Washington", ""
"Houston", "Texas", "Wharton", ""
"Harlingen", "Texas", "Cameron", ""
"Harlingen", "Texas", "Willacy", ""
"Harlingen", "Texas", "Kenedy", ""
"Harlingen", "Texas", "Kleberg", ""
"Harlingen", "Texas", "Nueces", ""
"Harlingen", "Texas", "San Patricio", ""
"Harlingen", "Texas", "Hidalgo", ""
"Harlingen", "Texas", "Brooks", ""
"Harlingen", "Texas", "Starr", ""
"Harlingen", "Texas", "Jim Hogg", ""
"Harlingen", "Texas", "Zapata", ""
"Harlingen", "Texas", "Webb", ""
"Harlingen", "Texas", "Duval", ""
"Harlingen", "Texas", "Jim Wells", ""
"Harlingen", "Texas", "Aransas", ""
"El Paso", "Texas", "Andrews", ""
"El Paso", "Texas", "Brewster", ""
"El Paso", "Texas", "Crane", ""
"El Paso", "Texas", "Culberson", ""
"El Paso", "Texas", "Ector", ""
"El Paso", "Texas", "El Paso", ""
"El Paso", "Texas", "Hudspeth", ""
"El Paso", "Texas", "Jeff Davis", ""
"El Paso", "Texas", "Loving", ""
"El Paso", "Texas", "Martin", ""
"El Paso", "Texas", "Midland", ""
"El Paso", "Texas", "Pecos", ""
"El Paso", "Texas", "Presidio", ""
"El Paso", "Texas", "Reeves", ""
"El Paso", "Texas", "Terrell", ""
"El Paso", "Texas", "Upton", ""
"El Paso", "Texas", "Ward", ""
"El Paso", "Texas", "Winkler", ""
"Dallas", "Texas", "Anderson", ""
"Dallas", "Texas", "Archer", ""
"Dallas", "Texas", "Armstrong", ""
"Dallas", "Texas", "Bailey", ""
"Dallas", "Texas", "Baylor", ""
"Dallas", "Texas", "Borden", ""
"Dallas", "Texas", "Bowie", ""
"Dallas", "Texas", "Briscoe", ""
"Dallas", "Texas", "Brown", ""
"Dallas", "Texas", "Callahan", ""
"Dallas", "Texas", "Camp", ""
"Dallas", "Texas", "Carson", ""
"Dallas", "Texas", "Cass", ""
"Dallas", "Texas", "Castro", ""
"Dallas", "Texas", "Cherokee", ""
"Dallas", "Texas", "Childress", ""
"Dallas", "Texas", "Clay", ""
"Dallas", "Texas", "Cochran", ""
"Dallas", "Texas", "Coke", ""
"Dallas", "Texas", "Coleman", ""
"Dallas", "Texas", "Collin", ""
"Dallas", "Texas", "Collingsworth", ""
"Dallas", "Texas", "Comanche", ""
"Dallas", "Texas", "Concho", ""
"Dallas", "Texas", "Cooke", ""
"Dallas", "Texas", "Cottle", ""
"Dallas", "Texas", "Crockett", ""
"Dallas", "Texas", "Crosby", ""
"Dallas", "Texas", "Dallam", ""
"Dallas", "Texas", "Dallas", ""
"Dallas", "Texas", "Dawson", ""
"Dallas", "Texas", "Deaf Smith", ""
"Dallas", "Texas", "Delta", ""
"Dallas", "Texas", "Denton", ""
"Dallas", "Texas", "Dickens", ""
"Dallas", "Texas", "Donley", ""
"Dallas", "Texas", "Eastland", ""
"Dallas", "Texas", "Ellis", ""
"Dallas", "Texas", "Erath", ""
"Dallas", "Texas", "Fannin", ""
"Dallas", "Texas", "Fisher", ""
"Dallas", "Texas", "Floyd", ""
"Dallas", "Texas", "Foard", ""
"Dallas", "Texas", "Franklin", ""
"Dallas", "Texas", "Gaines", ""
"Dallas", "Texas", "Garza", ""
"Dallas", "Texas", "Glasscock", ""
"Dallas", "Texas", "Gray", ""
"Dallas", "Texas", "Grayson", ""
"Dallas", "Texas", "Gregg", ""
"Dallas", "Texas", "Hale", ""
"Dallas", "Texas", "Hall", ""
"Dallas", "Texas", "Hansford", ""
"Dallas", "Texas", "Hardeman", ""
"Dallas", "Texas", "Harrison", ""
"Dallas", "Texas", "Hartley", ""
"Dallas", "Texas", "Haskell", ""
"Dallas", "Texas", "Hemphill", ""
"Dallas", "Texas", "Henderson", ""
"Dallas", "Texas", "Hockley", ""
"Dallas", "Texas", "Hood", ""
"Dallas", "Texas", "Hopkins", ""
"Dallas", "Texas", "Howard", ""
"Dallas", "Texas", "Hunt", ""
"Dallas", "Texas", "Hutchinson", ""
"Dallas", "Texas", "Irion", ""
"Dallas", "Texas", "Jack", ""
"Dallas", "Texas", "Johnson", ""
"Dallas", "Texas", "Jones", ""
"Dallas", "Texas", "Kaufman", ""
"Dallas", "Texas", "Kent", ""
"Dallas", "Texas", "King", ""
"Dallas", "Texas", "Knox", ""
"Dallas", "Texas", "Lamar", ""
"Dallas", "Texas", "Lamb", ""
"Dallas", "Texas", "Lipscomb", ""
"Dallas", "Texas", "Lubbock", ""
"Dallas", "Texas", "Lynn", ""
"Dallas", "Texas", "Marion", ""
"Dallas", "Texas", "Menard", ""
"Dallas", "Texas", "Mills", ""
"Dallas", "Texas", "Mitchell", ""
"Dallas", "Texas", "Montague", ""
"Dallas", "Texas", "Moore", ""
"Dallas", "Texas", "Morris", ""
"Dallas", "Texas", "Motley", ""
"Dallas", "Texas", "Navarro", ""
"Dallas", "Texas", "Nolan", ""
"Dallas", "Texas", "Ochiltree", ""
"Dallas", "Texas", "Oldham", ""
"Dallas", "Texas", "Palo Pinto", ""
"Dallas", "Texas", "Panola", ""
"Dallas", "Texas", "Parker", ""
"Dallas", "Texas", "Parmer", ""
"Dallas", "Texas", "Potter", ""
"Dallas", "Texas", "Rains", ""
"Dallas", "Texas", "Randall", ""
"Dallas", "Texas", "Reagan", ""
"Dallas", "Texas", "Red River", ""
"Dallas", "Texas", "Roberts", ""
"Dallas", "Texas", "Rockwall", ""
"Dallas", "Texas", "Runnels", ""
"Dallas", "Texas", "Rusk", ""
"Dallas", "Texas", "Schleicher", ""
"Dallas", "Texas", "Scurry", ""
"Dallas", "Texas", "Shackelford", ""
"Dallas", "Texas", "Sherman", ""
"Dallas", "Texas", "Smith", ""
"Dallas", "Texas", "Stephens", ""
"Dallas", "Texas", "Sterling", ""
"Dallas", "Texas", "Stonewall", ""
"Dallas", "Texas", "Sutton", ""
"Dallas", "Texas", "Swisher", ""
"Dallas", "Texas", "Tarrant", ""
"Dallas", "Texas", "Taylor", ""
"Dallas", "Texas", "Terry", ""
"Dallas", "Texas", "Throckmorton", ""
"Dallas", "Texas", "Titus", ""
"Dallas", "Texas", "Tom Green", ""
"Dallas", "Texas", "Upshur", ""
"Dallas", "Texas", "Van Zandt", ""
"Dallas", "Texas", "Wheeler", ""
"Dallas", "Texas", "Wichita", ""
"Dallas", "Texas", "Wilbarger", ""
"Dallas", "Texas", "Wise", ""
"Dallas", "Texas", "Wood", ""
"Dallas", "Texas", "Yoakum", ""
"Dallas", "Texas", "Young", ""
"San Antonio", "Texas", "Atascosa", ""
"San Antonio", "Texas", "Bandera", ""
"San Antonio", "Texas", "Bastrop", ""
"San Antonio", "Texas", "Bexar", ""
"San Antonio", "Texas", "Blanco", ""
"San Antonio", "Texas", "Burnet", ""
"San Antonio", "Texas", "Caldwell", ""
"San Antonio", "Texas", "Comal", ""
"San Antonio", "Texas", "Dimmit", ""
"San Antonio", "Texas", "Edwards", ""
"San Antonio", "Texas", "Frio", ""
"San Antonio", "Texas", "Gillespie", ""
"San Antonio", "Texas", "Gonzales", ""
"San Antonio", "Texas", "Guadalupe", ""
"San Antonio", "Texas", "Hays", ""
"San Antonio", "Texas", "Karnes", ""
"San Antonio", "Texas", "Kendall", ""
"San Antonio", "Texas", "Kerr", ""
"San Antonio", "Texas", "Kimble", ""
"San Antonio", "Texas", "Kinney", ""
"San Antonio", "Texas", "Lampasas", ""
"San Antonio", "Texas", "La Salle", ""
"San Antonio", "Texas", "Llano", ""
"San Antonio", "Texas", "McCulloch", ""
"San Antonio", "Texas", "McMullen", ""
"San Antonio", "Texas", "Mason", ""
"San Antonio", "Texas", "Maverick", ""
"San Antonio", "Texas", "Medina", ""
"San Antonio", "Texas", "Real", ""
"San Antonio", "Texas", "San Saba", ""
"San Antonio", "Texas", "Travis", ""
"San Antonio", "Texas", "Uvalde", ""
"San Antonio", "Texas", "Val Verde", ""
"San Antonio", "Texas", "Williamson", ""
"San Antonio", "Texas", "Wilson", ""
"San Antonio", "Texas", "Zavala", ""
